equipmentnumber,type,description,geocoordX,geocoordY,state,stateExplanation,stationnumber,datetime
10478797,ELEVATOR,zu Gleis 1 (S-Bahn),11.5330696,48.0955121,ACTIVE,available,4244,2019-07-07T15:13:10Z
10270369,ELEVATOR,zu Gleis 1/2,7.118748432,50.87769894,ACTIVE,available,4762,2019-07-07T15:13:10Z
10456524,ELEVATOR,zu Gleis 1,12.3452505,51.5250055,ACTIVE,available,1156,2019-07-07T15:13:10Z
10456525,ELEVATOR,zu Gleis 2/3,12.345535,51.5249925,ACTIVE,available,1156,2019-07-07T15:13:10Z
10502054,ELEVATOR,zu Gleis 2/3,,,ACTIVE,available,5505,2019-07-07T15:13:10Z
10502053,ELEVATOR,zu Gleis 1,,,ACTIVE,available,5505,2019-07-07T15:13:10Z
10502055,ELEVATOR,zu Gleis 4/6,,,ACTIVE,available,5505,2019-07-07T15:13:10Z
10035486,ESCALATOR,zu Gleis 2/3,6.95886,50.94253,ACTIVE,available,3320,2019-07-07T15:13:10Z
10313080,ESCALATOR,von EG zu UG,8.66261545,50.10748495,ACTIVE,available,1866,2019-07-07T15:13:10Z
10502041,ELEVATOR,zu Gleis 1,8.613311,49.701907,ACTIVE,available,489,2019-07-07T15:13:10Z
10313081,ESCALATOR,von EG zu UG,8.6626396,50.1074941,ACTIVE,available,1866,2019-07-07T15:13:10Z
10502043,ELEVATOR,zu Gleis 1,8.609040731,49.72596873,ACTIVE,available,7075,2019-07-07T15:13:10Z
10502042,ELEVATOR,zu Gleis 2/3,8.613092,49.701955,ACTIVE,available,489,2019-07-07T15:13:10Z
10502044,ELEVATOR,zu Gleis 2,8.608785921,49.72592459,ACTIVE,available,7075,2019-07-07T15:13:10Z
10438749,ESCALATOR,zu Gleis 13/14 (S-Bahn),13.37681605,52.51039385,ACTIVE,available,5016,2019-07-07T15:13:10Z
10506407,ESCALATOR,Ausgang Pepermölenbek,9.95515,53.54947,ACTIVE,available,5167,2019-07-07T15:13:10Z
10506406,ESCALATOR,Ausgang Talstraße,9.95962,53.5496,ACTIVE,available,5167,2019-07-07T15:13:10Z
10059457,ELEVATOR,zu Gleis 1,8.906926705,50.12155588,ACTIVE,available,5998,2019-07-07T15:13:10Z
10270381,ESCALATOR,zum Ausgang,7.11973,50.87775,ACTIVE,available,4762,2019-07-07T15:13:10Z
